Subject	Session	run	Trial	T1_pos	T2_pos	TrialType	T1	T2	T1menu	T2menu	T1resp	T2resp	T1RT	T2RT	T1hit	T2hit	InitialSequence	FinalSequence
subject5	1	1	1	10	11	1	1	39	[32  1 38]	[34 39 35]	v	z	0.6993067999719642	1.1332458999822848	True	False	[21, 3, 7, 5, 1, 3, 21, 4, 22, 2, 6, 20, 2, 22, 21, 9, 18, 9, 22, 22]	[21, 3, 7, 5, 1, 3, 21, 4, 22, 2, 1, 39, 2, 22, 21, 9, 18, 9, 22, 22]
subject5	1	1	2	8	10	2	9	20	[ 9 35 14]	[35 20 36]	z	z	0.48433329997351393	1.5683649000129662	True	False	[5, 0, 14, 2, 16, 7, 10, 4, 19, 4, 11, 22, 9, 16, 0, 23, 20, 2, 8, 16]	[5, 0, 14, 2, 16, 7, 10, 4, 9, 4, 20, 22, 9, 16, 0, 23, 20, 2, 8, 16]
subject5	1	1	3	11	12	1	19	12	[ 1 21 19]	[ 4 21 12]	m	m	1.2353597999899648	0.6333735000225715	True	True	[14, 4, 8, 18, 21, 19, 0, 15, 0, 7, 19, 18, 20, 14, 9, 17, 6, 23, 15, 19]	[14, 4, 8, 18, 21, 19, 0, 15, 0, 7, 19, 19, 12, 14, 9, 17, 6, 23, 15, 19]
subject5	1	1	4	13	15	2	3	29	[16 26  3]	[11 10 29]	z	v	0.8991816000198014	2.0332265999750234	False	False	[3, 2, 17, 22, 0, 11, 14, 5, 11, 9, 18, 15, 18, 12, 9, 1, 1, 0, 6, 10]	[3, 2, 17, 22, 0, 11, 14, 5, 11, 9, 18, 15, 18, 3, 9, 29, 1, 0, 6, 10]
subject5	1	1	5	2	9	7	28	4	[ 5 36 28]	[ 4 10 33]	z	z	1.1351062000030652	0.8336473999661393	False	True	[14, 6, 7, 3, 1, 3, 18, 1, 9, 6, 7, 23, 14, 6, 10, 15, 13, 21, 7, 14]	[14, 6, 28, 3, 1, 3, 18, 1, 9, 4, 7, 23, 14, 6, 10, 15, 13, 21, 7, 14]
subject5	1	1	6	3	10	7	33	0	[15 10 33]	[20  3  0]	m	m	0.7857857999624684	1.0216589999618009	True	True	[1, 8, 6, 23, 3, 16, 13, 12, 1, 16, 6, 13, 3, 21, 4, 15, 16, 19, 1, 21]	[1, 8, 6, 33, 3, 16, 13, 12, 1, 16, 0, 13, 3, 21, 4, 15, 16, 19, 1, 21]
subject5	1	1	7	7	9	2	32	37	[23 32 38]	[24 19 37]	v	v	0.6165932000149041	1.8512601000256836	True	False	[14, 17, 17, 9, 17, 6, 21, 6, 3, 0, 17, 5, 9, 5, 2, 23, 12, 7, 10, 8]	[14, 17, 17, 9, 17, 6, 21, 32, 3, 37, 17, 5, 9, 5, 2, 23, 12, 7, 10, 8]
subject5	1	1	8	2	9	7	29	39	[ 5  1 29]	[24 39 16]	m	time out	1.7695466000004672	2.501388999982737	True	False	[9, 4, 19, 4, 19, 2, 4, 12, 14, 15, 10, 5, 5, 2, 11, 18, 2, 17, 19, 17]	[9, 4, 29, 4, 19, 2, 4, 12, 14, 39, 10, 5, 5, 2, 11, 18, 2, 17, 19, 17]
subject5	1	1	9	4	5	1	28	6	[22 17 28]	[33  6  3]	m	z	0.5327200000174344	1.217275500006508	True	False	[1, 17, 0, 8, 20, 5, 14, 8, 22, 7, 2, 10, 22, 6, 18, 16, 6, 18, 12, 8]	[1, 17, 0, 8, 28, 6, 14, 8, 22, 7, 2, 10, 22, 6, 18, 16, 6, 18, 12, 8]
subject5	1	1	10	12	19	7	5	22	[12  5 27]	[39 35 22]	z	m	1.1192788999760523	0.5664601000025868	False	True	[17, 3, 5, 3, 7, 14, 13, 9, 19, 2, 9, 16, 21, 1, 8, 15, 21, 11, 20, 23]	[17, 3, 5, 3, 7, 14, 13, 9, 19, 2, 9, 16, 5, 1, 8, 15, 21, 11, 20, 22]
subject5	1	1	11	9	16	7	11	34	[25  1 11]	[34 33 37]	m	z	0.7351584000280127	1.5011735999723896	True	True	[6, 19, 4, 7, 23, 7, 2, 5, 22, 1, 10, 8, 12, 11, 5, 23, 18, 18, 4, 1]	[6, 19, 4, 7, 23, 7, 2, 5, 22, 11, 10, 8, 12, 11, 5, 23, 34, 18, 4, 1]
subject5	1	1	12	12	19	7	29	21	[22 35 29]	[11 21 36]	z	v	0.6673738000099547	0.5323767999652773	False	True	[21, 21, 8, 22, 3, 16, 23, 22, 6, 14, 6, 11, 15, 11, 13, 6, 11, 21, 23, 0]	[21, 21, 8, 22, 3, 16, 23, 22, 6, 14, 6, 11, 29, 11, 13, 6, 11, 21, 23, 21]
subject5	1	1	13	2	9	7	20	1	[ 2 20 19]	[ 0  1 36]	v	v	0.6509756000014022	0.5839315999764949	True	True	[15, 0, 9, 12, 2, 23, 12, 15, 8, 9, 17, 4, 23, 2, 14, 13, 12, 23, 15, 18]	[15, 0, 20, 12, 2, 23, 12, 15, 8, 1, 17, 4, 23, 2, 14, 13, 12, 23, 15, 18]
subject5	1	1	14	3	10	7	8	7	[22 35  8]	[2 7 9]	m	z	0.717579799995292	0.9171710999798961	True	False	[6, 3, 20, 20, 3, 18, 20, 23, 20, 16, 21, 21, 7, 22, 4, 9, 17, 14, 21, 21]	[6, 3, 20, 8, 3, 18, 20, 23, 20, 16, 7, 21, 7, 22, 4, 9, 17, 14, 21, 21]
subject5	1	1	15	13	15	2	19	0	[24 17 19]	[38 37  0]	v	m	1.0071934000006877	0.46507520001614466	False	True	[10, 9, 16, 4, 9, 13, 22, 0, 12, 2, 3, 14, 8, 10, 16, 14, 8, 16, 1, 2]	[10, 9, 16, 4, 9, 13, 22, 0, 12, 2, 3, 14, 8, 19, 16, 0, 8, 16, 1, 2]
subject5	1	1	16	8	9	1	4	3	[ 4 28  8]	[ 3 37 21]	z	z	1.067725100030657	0.6833880000049248	True	True	[17, 12, 13, 6, 5, 4, 12, 4, 23, 4, 3, 18, 13, 7, 10, 19, 6, 18, 12, 16]	[17, 12, 13, 6, 5, 4, 12, 4, 4, 3, 3, 18, 13, 7, 10, 19, 6, 18, 12, 16]
subject5	1	1	17	10	17	7	0	27	[37  0 26]	[26 33 27]	v	m	0.5516279000439681	0.9337169000064023	True	True	[17, 10, 23, 1, 21, 3, 4, 2, 0, 7, 3, 8, 0, 17, 18, 7, 20, 20, 11, 21]	[17, 10, 23, 1, 21, 3, 4, 2, 0, 7, 0, 8, 0, 17, 18, 7, 20, 27, 11, 21]
subject5	1	1	18	8	15	7	30	32	[ 3 22 30]	[20 32 25]	m	v	0.5847924000117928	0.4383837000350468	True	True	[6, 4, 21, 23, 14, 10, 5, 11, 11, 11, 6, 15, 20, 13, 6, 2, 10, 2, 4, 12]	[6, 4, 21, 23, 14, 10, 5, 11, 30, 11, 6, 15, 20, 13, 6, 32, 10, 2, 4, 12]
subject5	1	1	19	11	18	7	0	13	[30  5  0]	[13 28 38]	m	z	0.4843712999718264	0.7661611000075936	True	True	[19, 1, 0, 23, 19, 14, 15, 18, 13, 3, 0, 3, 9, 12, 6, 16, 15, 2, 23, 22]	[19, 1, 0, 23, 19, 14, 15, 18, 13, 3, 0, 0, 9, 12, 6, 16, 15, 2, 13, 22]
subject5	1	1	20	15	17	2	16	5	[36 20 16]	[1 8 5]	v	m	1.3522546999738552	0.16646699997363612	False	True	[15, 13, 9, 11, 11, 10, 7, 7, 5, 9, 21, 16, 4, 18, 18, 14, 3, 19, 19, 20]	[15, 13, 9, 11, 11, 10, 7, 7, 5, 9, 21, 16, 4, 18, 18, 16, 3, 5, 19, 20]
subject5	1	1	21	8	15	7	10	19	[10 30  0]	[ 2 38 19]	m	v	0.669231400010176	2.235253899998497	False	False	[19, 2, 2, 10, 5, 19, 6, 19, 13, 3, 4, 6, 10, 18, 23, 3, 19, 6, 19, 14]	[19, 2, 2, 10, 5, 19, 6, 19, 10, 3, 4, 6, 10, 18, 23, 19, 19, 6, 19, 14]
subject5	1	1	22	6	13	7	27	6	[ 1 27  4]	[ 0  6 28]	v	v	1.6661750000203028	0.8505140000488609	True	True	[13, 10, 1, 16, 14, 22, 10, 4, 21, 12, 4, 21, 8, 12, 18, 17, 7, 17, 9, 0]	[13, 10, 1, 16, 14, 22, 27, 4, 21, 12, 4, 21, 8, 6, 18, 17, 7, 17, 9, 0]
subject5	1	1	23	16	18	2	23	15	[14  6 23]	[15 26  4]	z	v	0.6843407999840565	0.31718790001468733	False	False	[2, 11, 16, 13, 0, 6, 14, 6, 11, 0, 14, 0, 14, 9, 10, 8, 0, 9, 10, 10]	[2, 11, 16, 13, 0, 6, 14, 6, 11, 0, 14, 0, 14, 9, 10, 8, 23, 9, 15, 10]
subject5	1	1	24	12	19	7	0	1	[ 3 24  0]	[ 1  6 14]	m	z	0.568860900006257	0.5671159999910742	True	True	[21, 22, 23, 0, 22, 21, 21, 15, 3, 23, 3, 16, 18, 5, 19, 18, 1, 0, 17, 17]	[21, 22, 23, 0, 22, 21, 21, 15, 3, 23, 3, 16, 0, 5, 19, 18, 1, 0, 17, 1]
subject5	1	1	25	12	13	1	27	5	[27 39 30]	[37  5 39]	z	z	0.6988023999729194	0.9833558999816887	True	False	[12, 10, 12, 0, 8, 3, 22, 10, 23, 12, 21, 21, 0, 4, 13, 18, 19, 14, 10, 11]	[12, 10, 12, 0, 8, 3, 22, 10, 23, 12, 21, 21, 27, 5, 13, 18, 19, 14, 10, 11]
subject5	1	1	26	16	18	2	24	20	[19 24 23]	[ 7 20 14]	v	v	0.6853708999697119	0.6328818000038154	True	True	[2, 10, 13, 11, 4, 5, 1, 13, 15, 5, 3, 12, 19, 4, 19, 16, 11, 13, 22, 4]	[2, 10, 13, 11, 4, 5, 1, 13, 15, 5, 3, 12, 19, 4, 19, 16, 24, 13, 20, 4]
subject5	1	1	27	9	16	7	28	33	[28 15 31]	[22  3 33]	z	m	0.5186464000144042	0.5335945000406355	True	True	[2, 2, 23, 8, 15, 5, 12, 21, 17, 13, 8, 14, 6, 15, 5, 2, 9, 23, 4, 15]	[2, 2, 23, 8, 15, 5, 12, 21, 17, 28, 8, 14, 6, 15, 5, 2, 33, 23, 4, 15]
subject5	1	1	28	7	8	1	36	24	[36 10 37]	[ 1 24 29]	z	m	0.46711800002958626	0.788003999972716	True	False	[7, 21, 2, 12, 2, 3, 9, 19, 18, 0, 21, 22, 21, 6, 16, 7, 23, 14, 22, 23]	[7, 21, 2, 12, 2, 3, 9, 36, 24, 0, 21, 22, 21, 6, 16, 7, 23, 14, 22, 23]
subject5	1	1	29	18	19	1	22	0	[22  7 23]	[12  0  9]	z	v	0.650632000004407	0.43331670004408807	True	True	[2, 23, 7, 20, 14, 4, 1, 5, 18, 17, 0, 20, 10, 5, 1, 10, 21, 23, 19, 4]	[2, 23, 7, 20, 14, 4, 1, 5, 18, 17, 0, 20, 10, 5, 1, 10, 21, 23, 22, 0]
subject5	1	1	30	11	13	2	2	19	[ 2 36 13]	[ 3 19 14]	z	z	0.4845470000291243	1.3013790000113659	True	False	[1, 18, 3, 12, 9, 22, 6, 16, 3, 17, 12, 2, 15, 5, 22, 17, 14, 22, 14, 18]	[1, 18, 3, 12, 9, 22, 6, 16, 3, 17, 12, 2, 15, 19, 22, 17, 14, 22, 14, 18]
subject5	1	1	31	8	9	1	14	21	[33  8 14]	[19 37 21]	z	m	2.3923008000128902	1.1807218000176363	False	True	[4, 23, 15, 1, 20, 20, 3, 8, 15, 19, 10, 20, 15, 12, 19, 1, 3, 21, 10, 6]	[4, 23, 15, 1, 20, 20, 3, 8, 14, 21, 10, 20, 15, 12, 19, 1, 3, 21, 10, 6]
subject5	1	1	32	12	14	2	34	0	[34  1 36]	[8 0 3]	z	v	0.6826429000357166	0.8849653000361286	True	True	[7, 20, 16, 9, 8, 2, 12, 13, 19, 1, 8, 7, 23, 3, 23, 2, 22, 10, 18, 6]	[7, 20, 16, 9, 8, 2, 12, 13, 19, 1, 8, 7, 34, 3, 0, 2, 22, 10, 18, 6]
subject5	1	1	33	10	17	7	1	17	[ 1 11 39]	[ 9 16 17]	z	m	0.6673301999690011	1.433956200024113	True	True	[21, 20, 14, 21, 15, 14, 21, 4, 8, 20, 7, 15, 5, 3, 23, 11, 23, 21, 11, 14]	[21, 20, 14, 21, 15, 14, 21, 4, 8, 20, 1, 15, 5, 3, 23, 11, 23, 17, 11, 14]
subject5	1	1	34	12	19	7	14	32	[25 14 10]	[16  7 32]	v	m	0.8385077000129968	0.8008349000010639	True	True	[10, 23, 2, 2, 15, 2, 6, 6, 13, 12, 9, 4, 16, 18, 9, 7, 4, 23, 10, 19]	[10, 23, 2, 2, 15, 2, 6, 6, 13, 12, 9, 4, 14, 18, 9, 7, 4, 23, 10, 32]
subject5	1	1	35	10	11	1	6	1	[18 31  6]	[1 5 2]	m	z	1.5998213000129908	0.9849411000031978	True	True	[7, 20, 16, 11, 19, 2, 8, 9, 19, 17, 9, 4, 9, 21, 18, 6, 15, 2, 0, 18]	[7, 20, 16, 11, 19, 2, 8, 9, 19, 17, 6, 1, 9, 21, 18, 6, 15, 2, 0, 18]
subject5	1	1	36	8	15	7	9	11	[ 9 14 19]	[ 2 11 13]	z	v	0.5010458999895491	0.7511873000185005	True	True	[11, 21, 20, 10, 6, 1, 10, 22, 11, 1, 2, 23, 19, 10, 3, 19, 22, 2, 18, 15]	[11, 21, 20, 10, 6, 1, 10, 22, 9, 1, 2, 23, 19, 10, 3, 11, 22, 2, 18, 15]
subject5	1	1	37	14	16	2	8	20	[ 8  9 17]	[29 24 20]	z	m	1.5061982999905013	0.5158481999533251	True	True	[18, 17, 0, 17, 16, 10, 22, 7, 0, 13, 6, 7, 10, 2, 20, 11, 13, 17, 11, 19]	[18, 17, 0, 17, 16, 10, 22, 7, 0, 13, 6, 7, 10, 2, 8, 11, 20, 17, 11, 19]
subject5	1	1	38	18	19	1	14	17	[14 25 21]	[17 18  1]	v	z	1.0339510000194423	1.017695199989248	False	True	[18, 4, 1, 16, 5, 14, 22, 14, 2, 18, 20, 8, 8, 12, 19, 2, 13, 18, 16, 18]	[18, 4, 1, 16, 5, 14, 22, 14, 2, 18, 20, 8, 8, 12, 19, 2, 13, 18, 14, 17]
subject5	1	1	39	10	12	2	26	27	[15 26  0]	[12 22 27]	v	v	0.5176183999865316	0.8004272999824025	True	False	[9, 4, 7, 8, 11, 2, 9, 5, 10, 19, 22, 7, 22, 11, 19, 1, 1, 3, 5, 4]	[9, 4, 7, 8, 11, 2, 9, 5, 10, 19, 26, 7, 27, 11, 19, 1, 1, 3, 5, 4]
subject5	1	1	40	2	9	7	5	14	[24  5 16]	[38 14 34]	v	v	0.9182408999768086	0.6719849000219256	True	True	[12, 7, 0, 0, 21, 16, 3, 3, 15, 3, 11, 2, 1, 2, 10, 12, 17, 18, 4, 11]	[12, 7, 5, 0, 21, 16, 3, 3, 15, 14, 11, 2, 1, 2, 10, 12, 17, 18, 4, 11]
subject5	1	1	41	13	14	1	9	18	[22 10  9]	[18 35 30]	m	z	0.8502820999710821	1.5666848000255413	True	True	[7, 9, 23, 2, 14, 4, 16, 16, 15, 3, 8, 5, 23, 12, 13, 7, 6, 19, 6, 3]	[7, 9, 23, 2, 14, 4, 16, 16, 15, 3, 8, 5, 23, 9, 18, 7, 6, 19, 6, 3]
subject5	1	1	42	8	15	7	17	15	[23 17  7]	[20 15 13]	v	v	0.3685813000192866	1.1837081999983639	True	True	[5, 19, 19, 1, 14, 7, 2, 22, 9, 13, 9, 6, 16, 16, 22, 12, 19, 17, 10, 13]	[5, 19, 19, 1, 14, 7, 2, 22, 17, 13, 9, 6, 16, 16, 22, 15, 19, 17, 10, 13]
subject5	1	1	43	5	12	7	35	4	[35 37 26]	[24  4  0]	z	m	0.5848584999912418	0.8055053999996744	True	False	[14, 14, 10, 22, 4, 19, 14, 5, 17, 0, 1, 17, 7, 13, 13, 13, 12, 12, 15, 6]	[14, 14, 10, 22, 4, 35, 14, 5, 17, 0, 1, 17, 4, 13, 13, 13, 12, 12, 15, 6]
subject5	1	1	44	11	18	7	3	12	[21  3 19]	[14  1 12]	z	m	0.9155704999575391	0.5661098000127822	False	True	[7, 15, 22, 12, 12, 2, 18, 12, 6, 13, 5, 4, 5, 7, 11, 4, 14, 3, 21, 15]	[7, 15, 22, 12, 12, 2, 18, 12, 6, 13, 5, 3, 5, 7, 11, 4, 14, 3, 12, 15]
subject5	1	1	45	9	11	2	26	20	[32 24 26]	[21  7 20]	m	m	0.5852947999956086	0.8498891000053845	True	True	[11, 12, 23, 5, 13, 14, 1, 18, 19, 19, 1, 13, 23, 17, 10, 2, 0, 15, 2, 3]	[11, 12, 23, 5, 13, 14, 1, 18, 19, 26, 1, 20, 23, 17, 10, 2, 0, 15, 2, 3]
subject5	1	1	46	16	18	2	5	1	[39  5  2]	[ 1 15 36]	z	z	1.1688294000341557	0.8673916000407189	False	True	[5, 0, 7, 2, 23, 11, 5, 8, 23, 21, 3, 9, 9, 6, 1, 2, 2, 13, 20, 18]	[5, 0, 7, 2, 23, 11, 5, 8, 23, 21, 3, 9, 9, 6, 1, 2, 5, 13, 1, 18]
subject5	1	1	47	7	9	2	33	25	[33 30 22]	[36 25 32]	v	v	1.7333637999836355	0.4831802999833599	False	True	[13, 5, 10, 1, 12, 2, 4, 12, 16, 17, 5, 13, 3, 10, 9, 21, 8, 8, 0, 19]	[13, 5, 10, 1, 12, 2, 4, 33, 16, 25, 5, 13, 3, 10, 9, 21, 8, 8, 0, 19]
subject5	1	1	48	7	9	2	15	22	[15 37  1]	[33 19 22]	z	z	0.6185447000316344	1.083903199993074	True	False	[8, 9, 20, 0, 3, 22, 4, 16, 3, 2, 21, 0, 12, 13, 6, 18, 15, 7, 6, 2]	[8, 9, 20, 0, 3, 22, 4, 15, 3, 22, 21, 0, 12, 13, 6, 18, 15, 7, 6, 2]
subject5	1	1	49	11	12	1	17	1	[11 17  6]	[ 1 32 39]	v	z	0.584958599996753	0.4338106000213884	True	True	[7, 7, 2, 1, 15, 2, 21, 14, 0, 8, 16, 19, 17, 23, 21, 3, 12, 4, 23, 23]	[7, 7, 2, 1, 15, 2, 21, 14, 0, 8, 16, 17, 1, 23, 21, 3, 12, 4, 23, 23]
subject5	1	1	50	4	6	2	9	18	[32  9  8]	[36  7 18]	z	m	0.5150138000026345	0.7332125999964774	False	True	[18, 1, 23, 9, 22, 23, 0, 12, 4, 11, 8, 19, 10, 16, 3, 2, 13, 13, 23, 0]	[18, 1, 23, 9, 9, 23, 18, 12, 4, 11, 8, 19, 10, 16, 3, 2, 13, 13, 23, 0]
subject5	1	1	51	7	8	1	23	26	[27  9 23]	[27 26  6]	z	m	1.2838793999981135	1.0675437999889255	False	False	[3, 5, 10, 12, 17, 22, 10, 2, 10, 22, 19, 2, 21, 17, 15, 6, 6, 20, 1, 0]	[3, 5, 10, 12, 17, 22, 10, 23, 26, 22, 19, 2, 21, 17, 15, 6, 6, 20, 1, 0]
subject5	1	1	52	11	18	7	28	6	[28 23  8]	[ 6  7 37]	z	z	0.48425310000311583	0.6660044000018388	True	True	[11, 20, 5, 18, 8, 11, 20, 11, 2, 0, 23, 19, 3, 11, 8, 18, 23, 22, 22, 4]	[11, 20, 5, 18, 8, 11, 20, 11, 2, 0, 23, 28, 3, 11, 8, 18, 23, 22, 6, 4]
subject5	1	1	53	14	16	2	18	30	[18 29  6]	[ 2 37 30]	z	z	0.6327916000154801	0.9660281999967992	True	False	[19, 21, 0, 22, 19, 7, 9, 15, 11, 5, 13, 2, 22, 19, 22, 2, 12, 0, 2, 6]	[19, 21, 0, 22, 19, 7, 9, 15, 11, 5, 13, 2, 22, 19, 18, 2, 30, 0, 2, 6]
subject5	1	1	54	16	17	1	34	13	[29 14 34]	[22 13 23]	m	v	0.633761000004597	1.7687286000000313	True	True	[1, 7, 16, 19, 6, 21, 19, 4, 15, 5, 17, 8, 0, 4, 21, 14, 14, 22, 14, 21]	[1, 7, 16, 19, 6, 21, 19, 4, 15, 5, 17, 8, 0, 4, 21, 14, 34, 13, 14, 21]
subject5	1	1	55	12	19	7	35	36	[39 35 30]	[31 39 36]	v	m	0.6179883999866433	0.4334888000157662	True	True	[20, 7, 20, 16, 9, 7, 1, 16, 6, 9, 6, 1, 21, 0, 12, 16, 16, 22, 17, 1]	[20, 7, 20, 16, 9, 7, 1, 16, 6, 9, 6, 1, 35, 0, 12, 16, 16, 22, 17, 36]
subject5	1	1	56	12	19	7	33	5	[19 33 36]	[ 5 20 31]	v	z	0.5003940000315197	0.5222068000002764	True	True	[1, 1, 9, 2, 2, 13, 21, 10, 3, 20, 5, 12, 16, 22, 23, 4, 10, 8, 16, 16]	[1, 1, 9, 2, 2, 13, 21, 10, 3, 20, 5, 12, 33, 22, 23, 4, 10, 8, 16, 5]
